Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
2216,00:01:28.640,18.505677083333335,10.454513888888888,13.113819444444445,31.948697916666667
2217,00:01:28.680,14.945156249999998,6.9451736111111115,11.438211805555556,26.452083333333334
2218,00:01:28.720,14.008171296296297,7.518854166666666,10.973020833333333,23.53263888888889
2219,00:01:28.760,14.77455439814815,8.533090277777777,11.20092013888889,24.58965277777778
2220,00:01:28.800,12.055769675925925,6.4138368055555555,9.977239583333333,19.77623263888889
2221,00:01:28.840,13.066481481481482,6.932743055555555,11.022760416666667,21.243940972222223
2222,00:01:28.880,9.26244212962963,4.6252256944444445,7.493489583333333,15.668611111111112
2223,00:01:28.920,7.598975694444444,3.6092013888888888,6.282517361111111,12.905208333333333
2224,00:01:28.960,7.071770833333333,3.528090277777778,5.503732638888889,12.183489583333333
2225,00:01:29.000,6.80396412037037,3.2357291666666668,5.323697916666666,11.852465277777778
2226,00:01:29.040,8.635891203703704,3.9600347222222223,7.03578125,14.91185763888889
2227,00:01:29.080,6.277905092592593,2.885017361111111,4.878611111111111,11.070086805555556
2228,00:01:29.120,6.403107638888888,2.828333333333333,5.034739583333334,11.34625
2229,00:01:29.160,6.586388888888888,2.949201388888889,5.051753472222222,11.758211805555556
2230,00:01:29.200,6.551417824074075,2.940329861111111,5.04,11.67392361111111
2231,00:01:29.240,8.265636574074074,3.5239583333333333,6.872065972222222,14.400885416666666
2232,00:01:29.280,6.224438657407408,2.6781944444444443,4.795347222222222,11.199774305555556
2233,00:01:29.320,6.029693287037037,2.5891493055555554,4.627586805555556,10.87234375
2234,00:01:29.360,5.949936342592593,2.6255381944444443,4.499097222222222,10.725173611111112
2235,00:01:29.400,7.758096064814815,3.6144444444444446,5.95875,13.70109375
2236,00:01:29.440,5.705821759259259,2.5434375,4.032795138888889,10.54123263888889
2237,00:01:29.480,17.496423611111112,13.394583333333333,6.05078125,33.04390625
2238,00:01:29.520,11.957366898148146,8.634166666666667,4.331909722222222,22.906024305555555
2239,00:01:29.560,13.24538773148148,9.948107638888889,4.120173611111111,25.667881944444446
2240,00:01:29.600,5.6919155092592595,2.6152256944444443,4.1087847222222225,10.35173611111111
2241,00:01:29.640,6.265150462962963,3.1805555555555554,4.277274305555555,11.337621527777777
2242,00:01:29.680,7.362013888888889,3.6242881944444445,5.711197916666666,12.750555555555556
2243,00:01:29.720,5.4231539351851845,2.361666666666667,4.046302083333333,9.861493055555556
2244,00:01:29.760,5.678524305555555,2.682204861111111,4.017048611111111,10.336319444444445
2245,00:01:29.800,5.197829861111111,2.402482638888889,3.8175347222222222,9.373472222222222
2246,00:01:29.840,4.827193287037037,2.0864930555555556,3.547829861111111,8.847256944444444
2247,00:01:29.880,6.87197337962963,3.1605729166666667,5.24828125,12.207065972222223
2248,00:01:29.920,4.96204861111111,2.3924305555555554,3.4488194444444447,9.044895833333333
2249,00:01:29.960,4.53775462962963,2.149670138888889,3.1032291666666665,8.360364583333334
2250,00:01:30.000,4.633229166666667,2.1905208333333333,3.2499652777777777,8.45920138888889
2251,00:01:30.040,4.768819444444444,2.3656770833333334,3.282326388888889,8.65845486111111
2252,00:01:30.080,6.383252314814815,3.2027430555555556,4.601892361111111,11.345121527777778
2253,00:01:30.120,4.338831018518518,2.2040104166666667,2.994079861111111,7.818402777777778
2254,00:01:30.160,4.5497858796296295,2.40328125,3.031232638888889,8.21484375
2255,00:01:30.200,4.1837384259259265,2.1187673611111113,2.893315972222222,7.539131944444445
2256,00:01:30.240,4.050590277777777,2.1506944444444445,2.6818229166666665,7.319253472222222
2257,00:01:30.280,5.976238425925927,3.0409895833333334,4.091684027777778,10.796041666666667
2258,00:01:30.320,3.9558564814814816,1.9969444444444444,2.660503472222222,7.210121527777778
2259,00:01:30.360,3.328923611111111,1.5102083333333334,2.2339583333333333,6.242604166666666
2260,00:01:30.400,4.301354166666666,2.2661979166666666,2.652065972222222,7.985798611111111
2261,00:01:30.440,4.088090277777778,1.9365972222222223,2.874079861111111,7.45359375
2262,00:01:30.480,6.034126157407408,2.9619618055555557,4.416666666666667,10.72375
2263,00:01:30.520,4.249878472222222,2.1542708333333334,3.0340277777777778,7.561336805555555
2264,00:01:30.560,4.540081018518518,2.4569270833333334,3.295486111111111,7.867829861111111
2265,00:01:30.600,4.425688657407407,2.362326388888889,3.3136979166666665,7.601041666666666
2266,00:01:30.640,4.142181712962963,2.1104166666666666,3.022170138888889,7.293958333333333
2267,00:01:30.680,6.098292824074075,3.0402604166666665,4.500763888888889,10.753854166666667
2268,00:01:30.720,3.894091435185185,1.8716840277777778,2.881736111111111,6.9288541666666665
2269,00:01:30.760,4.958396990740741,2.921892361111111,2.844340277777778,9.108958333333334
2270,00:01:30.800,3.9353935185185183,1.929861111111111,2.6216493055555556,7.254670138888889
2271,00:01:30.840,3.4259317129629623,1.513611111111111,2.44046875,6.323715277777778
2272,00:01:30.880,5.292592592592592,2.451875,3.893784722222222,9.532118055555555
2273,00:01:30.920,3.607320601851852,1.7434548611111111,2.5648784722222224,6.513628472222222
2274,00:01:30.960,4.317170138888889,2.245642361111111,2.8715972222222224,7.834270833333333
2275,00:01:31.000,5.72611111111111,2.8155555555555556,4.292899305555555,10.069878472222221
